Image,Actual,Predicted,Confidence
Normal (164).jpg,Normal,Normal,94.00%
Normal (165).jpg,Normal,Normal,78.00%
Normal (166).jpg,Normal,Normal,56.00%
Normal (167).jpg,Normal,Normal,83.00%
Normal (168).jpg,Normal,Normal,73.00%
Normal (169).jpg,Normal,Normal,90.00%
Normal (17).jpg,Normal,Normal,99.00%
Normal (170).jpg,Normal,Normal,90.00%
Normal (19).jpg,Normal,Normal,95.00%
Normal (2).jpg,Normal,Normal,79.00%
Normal (20).jpg,Normal,Normal,76.00%
Normal (21).jpg,Normal,Normal,80.00%
Normal (25).jpg,Normal,Normal,99.00%
Normal (26).jpg,Normal,Normal,89.00%
Normal (27).jpg,Normal,Normal,89.00%
Normal (28).jpg,Normal,Normal,66.00%
Normal (29).jpg,Normal,Normal,63.00%
Normal (3).jpg,Normal,Normal,100.00%
Normal (30).jpg,Normal,Normal,58.00%
Normal (31).jpg,Normal,Normal,76.00%
Normal (34).jpg,Normal,Normal,91.00%
Normal (35).jpg,Normal,Normal,78.00%
Normal (36).jpg,Normal,Normal,75.00%
Normal (37).jpg,Normal,Normal,84.00%
Normal (38).jpg,Normal,Normal,71.00%
Normal (39).jpg,Normal,Normal,90.00%
Normal (40).jpg,Normal,Normal,94.00%
Normal (41).jpg,Normal,Normal,90.00%
Normal (42).jpg,Normal,Normal,75.00%
Normal (43).jpg,Normal,Normal,98.00%
Normal (44).jpg,Normal,Normal,60.00%
Normal (45).jpg,Normal,Normal,86.00%
Normal (47).jpg,Normal,Normal,90.00%
Normal (48).jpg,Normal,Normal,90.00%
Normal (5).jpg,Normal,Normal,88.00%
Normal (50).jpg,Normal,Normal,91.00%
Normal (51).jpg,Normal,Normal,92.00%
Normal (52).jpg,Normal,Normal,78.00%
Normal (53).jpg,Normal,Normal,99.00%
Normal (54).jpg,Normal,Normal,87.00%
Normal (55).jpg,Normal,Normal,52.00%
Normal (56).jpg,Normal,Normal,96.00%
Normal (57).jpg,Normal,Normal,98.00%
Normal (58).jpg,Normal,Normal,75.00%
Normal (59).jpg,Normal,Normal,98.00%
Normal (6).jpg,Normal,Normal,76.00%
Normal (60).jpg,Normal,Normal,97.00%
Normal (61).jpg,Normal,Normal,56.00%
Normal (62).jpg,Normal,Normal,91.00%
Normal (63).jpg,Normal,Normal,85.00%
Normal (64).jpg,Normal,Normal,82.00%
Normal (65).jpg,Normal,Normal,96.00%
Normal (66).jpg,Normal,Normal,97.00%
Normal (67).jpg,Normal,Normal,86.00%
Normal (68).jpg,Normal,Normal,95.00%
Normal (69).jpg,Normal,Normal,95.00%
Normal (70).jpg,Normal,Normal,95.00%
Normal (71).jpg,Normal,Normal,88.00%
Normal (72).jpg,Normal,Normal,93.00%
Normal (73).jpg,Normal,Normal,92.00%
Normal (74).jpg,Normal,Normal,59.00%
Normal (76).jpg,Normal,Normal,87.00%
Normal (77).jpg,Normal,Normal,90.00%
Normal (78).jpg,Normal,Normal,92.00%
Normal (79).jpg,Normal,Normal,98.00%
Normal (8).jpg,Normal,Normal,85.00%
Normal (80).jpg,Normal,Normal,78.00%
Normal (81).jpg,Normal,Normal,98.00%
Normal (82).jpg,Normal,Normal,75.00%
Normal (83).jpg,Normal,Normal,81.00%
Normal (84).jpg,Normal,Tumor,70.00%
Normal (85).jpg,Normal,Normal,89.00%
Normal (86).jpg,Normal,Normal,96.00%
Normal (87).jpg,Normal,Normal,92.00%
Normal (88).jpg,Normal,Normal,80.00%
Normal (89).jpg,Normal,Normal,92.00%
Normal (91).jpg,Normal,Normal,93.00%
Normal (92).jpg,Normal,Normal,84.00%
Normal (93).jpg,Normal,Normal,80.00%
Normal (94).jpg,Normal,Normal,89.00%
Normal (95).jpg,Normal,Normal,85.00%
Normal (96).jpg,Normal,Normal,98.00%
Tumor (100).jpg,Tumor,Tumor,94.00%
Tumor (101).jpg,Tumor,Tumor,99.00%
Tumor (102).jpg,Tumor,Tumor,82.00%
Tumor (104).jpg,Tumor,Tumor,68.00%
Tumor (105).jpg,Tumor,Tumor,68.00%
Tumor (106).jpg,Tumor,Tumor,100.00%
Tumor (108).jpg,Tumor,Tumor,95.00%
Tumor (11).jpg,Tumor,Tumor,90.00%
Tumor (111).jpg,Tumor,Tumor,98.00%
Tumor (112).jpg,Tumor,Tumor,80.00%
Tumor (113).jpg,Tumor,Tumor,99.00%
Tumor (115).jpg,Tumor,Tumor,98.00%
Tumor (116).jpg,Tumor,Tumor,89.00%
Tumor (117).jpg,Tumor,Tumor,79.00%
Tumor (118).jpg,Tumor,Tumor,90.00%
Tumor (120).jpg,Tumor,Tumor,90.00%
Tumor (121).jpg,Tumor,Tumor,92.00%
Tumor (124).jpg,Tumor,Tumor,100.00%
Tumor (125).jpg,Tumor,Tumor,95.00%
Tumor (126).jpg,Tumor,Tumor,87.00%
Tumor (127).jpg,Tumor,Tumor,98.00%
Tumor (129).jpg,Tumor,Tumor,96.00%
Tumor (130).jpg,Tumor,Tumor,96.00%
Tumor (132).jpg,Tumor,Tumor,94.00%
Tumor (133).jpg,Tumor,Tumor,99.00%
Tumor (134).jpg,Tumor,Tumor,96.00%
Tumor (137).jpg,Tumor,Tumor,95.00%
Tumor (138).jpg,Tumor,Tumor,92.00%
Tumor (139).jpg,Tumor,Tumor,87.00%
Tumor (14).jpg,Tumor,Tumor,81.00%
Tumor (140).jpg,Tumor,Tumor,96.00%
Tumor (141).jpg,Tumor,Tumor,98.00%
Tumor (142).jpg,Tumor,Tumor,100.00%
Tumor (143).jpg,Tumor,Tumor,98.00%
Tumor (144).jpg,Tumor,Tumor,98.00%
Tumor (145).jpg,Tumor,Tumor,77.00%
Tumor (146).jpg,Tumor,Tumor,61.00%
Tumor (147).jpg,Tumor,Tumor,98.00%
Tumor (148).jpg,Tumor,Tumor,95.00%
Tumor (149).jpg,Tumor,Tumor,90.00%
Tumor (15).jpg,Tumor,Tumor,78.00%
Tumor (150).jpg,Tumor,Tumor,89.00%
Tumor (151).jpg,Tumor,Tumor,98.00%
Tumor (152).jpg,Tumor,Tumor,100.00%
Tumor (153).jpg,Tumor,Tumor,86.00%
Tumor (154).jpg,Tumor,Tumor,77.00%
Tumor (156).jpg,Tumor,Tumor,90.00%
Tumor (157).jpg,Tumor,Tumor,98.00%
Tumor (158).jpg,Tumor,Tumor,94.00%
Tumor (159).jpg,Tumor,Tumor,90.00%
Tumor (161).jpg,Tumor,Tumor,100.00%
Tumor (162).jpg,Tumor,Tumor,71.00%
Tumor (163).jpg,Tumor,Tumor,79.00%
Tumor (164).jpg,Tumor,Tumor,99.00%
Tumor (165).jpg,Tumor,Tumor,90.00%
Tumor (167).jpg,Tumor,Tumor,95.00%
Tumor (168).jpg,Tumor,Tumor,78.00%
Tumor (169).jpg,Tumor,Tumor,70.00%
Tumor (17).jpg,Tumor,Tumor,77.00%
Tumor (170).jpg,Tumor,Tumor,87.00%
Tumor (172).jpg,Tumor,Tumor,89.00%
Tumor (173).jpg,Tumor,Tumor,84.00%
Tumor (174).jpg,Tumor,Tumor,94.00%
Tumor (175).jpg,Tumor,Tumor,99.00%
Tumor (179).jpg,Tumor,Tumor,99.00%
Tumor (18).jpg,Tumor,Tumor,95.00%
Tumor (180).jpg,Tumor,Tumor,83.00%
Tumor (181).jpg,Tumor,Tumor,100.00%
Tumor (182).jpg,Tumor,Tumor,85.00%
Tumor (183).jpg,Tumor,Tumor,78.00%
Tumor (184).jpg,Tumor,Tumor,78.00%
Tumor (185).jpg,Tumor,Tumor,99.00%
Tumor (188).jpg,Tumor,Tumor,89.00%
Tumor (189).jpg,Tumor,Tumor,97.00%
Tumor (19).jpg,Tumor,Tumor,79.00%
Tumor (190).jpg,Tumor,Tumor,86.00%
Tumor (191).jpg,Tumor,Tumor,95.00%
Tumor (192).jpg,Tumor,Tumor,84.00%
Tumor (194).jpg,Tumor,Tumor,90.00%
Tumor (195).jpg,Tumor,Tumor,86.00%
Tumor (196).jpg,Tumor,Tumor,96.00%
Tumor (197).jpg,Tumor,Tumor,72.00%
Tumor (198).jpg,Tumor,Tumor,96.00%
Tumor (20).jpg,Tumor,Tumor,94.00%
Tumor (200).jpg,Tumor,Tumor,91.00%
Tumor (202).jpg,Tumor,Tumor,94.00%
Tumor (203).jpg,Tumor,Tumor,99.00%
Tumor (204).jpg,Tumor,Tumor,89.00%
Tumor (205).jpg,Tumor,Tumor,95.00%
Tumor (206).jpg,Tumor,Tumor,91.00%
Tumor (207).jpg,Tumor,Tumor,79.00%
Tumor (208).jpg,Tumor,Tumor,60.00%
Tumor (21).jpg,Tumor,Tumor,90.00%
Tumor (210).jpg,Tumor,Tumor,99.00%
Tumor (211).jpg,Tumor,Tumor,96.00%
Tumor (212).jpg,Tumor,Tumor,94.00%
Tumor (213).jpg,Tumor,Tumor,77.00%
Tumor (214).jpg,Tumor,Tumor,97.00%
Tumor (215).jpg,Tumor,Tumor,92.00%
Tumor (216).jpg,Tumor,Tumor,95.00%
Tumor (217).jpg,Tumor,Tumor,89.00%
Tumor (218).jpg,Tumor,Tumor,78.00%
Tumor (219).jpg,Tumor,Tumor,83.00%
Tumor (22).jpg,Tumor,Tumor,88.00%
Tumor (220).jpg,Tumor,Tumor,91.00%
Tumor (221).jpg,Tumor,Tumor,93.00%
Tumor (223).jpg,Tumor,Tumor,96.00%
Tumor (224).jpg,Tumor,Tumor,91.00%
Tumor (225).jpg,Tumor,Tumor,96.00%
Tumor (226).jpg,Tumor,Tumor,100.00%
Tumor (227).jpg,Tumor,Tumor,76.00%
Tumor (229).jpg,Tumor,Tumor,95.00%
Tumor (23).jpg,Tumor,Tumor,80.00%
Tumor (24).jpg,Tumor,Tumor,88.00%
Tumor (25).jpg,Tumor,Tumor,93.00%
Tumor (26).jpg,Tumor,Tumor,90.00%
Tumor (27).jpg,Tumor,Tumor,89.00%
Tumor (28).jpg,Tumor,Tumor,91.00%
Tumor (3).jpg,Tumor,Tumor,81.00%
Tumor (30).jpg,Tumor,Tumor,99.00%
Tumor (31).jpg,Tumor,Tumor,78.00%
Tumor (32).jpg,Tumor,Tumor,81.00%
Tumor (33).jpg,Tumor,Tumor,88.00%
Tumor (34).jpg,Tumor,Tumor,98.00%
Tumor (35).jpg,Tumor,Tumor,95.00%
Tumor (36).jpg,Tumor,Tumor,82.00%
Tumor (37).jpg,Tumor,Tumor,88.00%
Tumor (38).jpg,Tumor,Tumor,97.00%
Tumor (39).jpg,Tumor,Tumor,86.00%
Tumor (4).jpg,Tumor,Tumor,80.00%
Tumor (40).jpg,Tumor,Tumor,100.00%
Tumor (41).jpg,Tumor,Tumor,76.00%
Tumor (42).jpg,Tumor,Tumor,65.00%
Tumor (43).jpg,Tumor,Tumor,99.00%
Tumor (44).jpg,Tumor,Tumor,94.00%
Tumor (46).jpg,Tumor,Tumor,82.00%
Tumor (47).jpg,Tumor,Tumor,95.00%
Tumor (48).jpg,Tumor,Tumor,89.00%
Tumor (49).jpg,Tumor,Tumor,94.00%
Tumor (5).jpg,Tumor,Tumor,100.00%
Tumor (50).jpg,Tumor,Tumor,100.00%
Tumor (51).jpg,Tumor,Tumor,98.00%
Tumor (52).jpg,Tumor,Tumor,56.00%
Tumor (54).jpg,Tumor,Tumor,98.00%
Tumor (55).jpg,Tumor,Tumor,59.00%
Tumor (56).jpg,Tumor,Tumor,83.00%
Tumor (57).jpg,Tumor,Tumor,93.00%
Tumor (58).jpg,Tumor,Tumor,95.00%
Tumor (59).jpg,Tumor,Tumor,89.00%
Tumor (6).jpg,Tumor,Tumor,96.00%
Tumor (61).jpg,Tumor,Tumor,91.00%
Tumor (62).jpg,Tumor,Tumor,94.00%
Tumor (63).jpg,Tumor,Tumor,94.00%
Tumor (64).jpg,Tumor,Tumor,88.00%
Tumor (65).jpg,Tumor,Tumor,83.00%
Tumor (66).jpg,Tumor,Tumor,93.00%
Tumor (67).jpg,Tumor,Tumor,96.00%
Tumor (68).jpg,Tumor,Tumor,89.00%
Tumor (7).jpg,Tumor,Tumor,68.00%
Tumor (71).jpg,Tumor,Tumor,90.00%
Tumor (72).jpg,Tumor,Tumor,97.00%
Tumor (73).jpg,Tumor,Tumor,79.00%
Tumor (74).jpg,Tumor,Tumor,100.00%
Tumor (75).jpg,Tumor,Tumor,80.00%
Tumor (76).jpg,Tumor,Tumor,93.00%
Tumor (77).jpg,Tumor,Tumor,89.00%
Tumor (78).jpg,Tumor,Tumor,87.00%
Tumor (79).jpg,Tumor,Tumor,90.00%
Tumor (8).jpg,Tumor,Tumor,86.00%
Tumor (80).jpg,Tumor,Tumor,95.00%
Tumor (81).jpg,Tumor,Tumor,84.00%
Tumor (82).jpg,Tumor,Tumor,93.00%
Tumor (83).jpg,Tumor,Tumor,90.00%
Tumor (84).jpg,Tumor,Tumor,90.00%
Tumor (86).jpg,Tumor,Tumor,79.00%
Tumor (87).jpg,Tumor,Tumor,95.00%
Tumor (9).jpg,Tumor,Tumor,90.00%
Tumor (90).jpg,Tumor,Tumor,96.00%
Tumor (91).jpg,Tumor,Tumor,98.00%
Tumor (92).jpg,Tumor,Tumor,85.00%
Tumor (93).jpg,Tumor,Tumor,90.00%
Tumor (94).jpg,Tumor,Tumor,98.00%
Tumor (95).jpg,Tumor,Tumor,91.00%
Tumor (96).jpg,Tumor,Tumor,95.00%
Normal (1).jpg,Normal,Normal,80.00%
Normal (10).jpg,Normal,Tumor,66.00%
Normal (103).jpg,Normal,Normal,87.00%
Normal (107).jpg,Normal,Normal,90.00%
Normal (109).jpg,Normal,Normal,91.00%
Normal (110).jpg,Normal,Normal,90.00%
Normal (114).jpg,Normal,Normal,100.00%
Normal (119).jpg,Normal,Normal,89.00%
Normal (12).jpg,Normal,Normal,73.00%
Normal (122).jpg,Normal,Normal,99.00%
Normal (123).jpg,Normal,Normal,95.00%
Normal (128).jpg,Normal,Normal,80.00%
Normal (13).jpg,Normal,Normal,88.00%
Normal (131).jpg,Normal,Normal,80.00%
Normal (135).jpg,Normal,Normal,95.00%
Normal (136).jpg,Normal,Normal,82.00%
Normal (155).jpg,Normal,Normal,91.00%
Normal (160).jpg,Normal,Normal,97.00%
Normal (18).jpg,Normal,Normal,89.00%
Normal (22).jpg,Normal,Normal,94.00%
Normal (23).jpg,Normal,Normal,87.00%
Normal (24).jpg,Normal,Normal,78.00%
Normal (32).jpg,Normal,Normal,71.00%
Normal (33).jpg,Normal,Normal,92.00%
Normal (4).jpg,Normal,Normal,98.00%
Normal (46).jpg,Normal,Normal,97.00%
Normal (49).jpg,Normal,Normal,95.00%
Normal (7).jpg,Normal,Normal,93.00%
Normal (75).jpg,Normal,Normal,93.00%
Normal (9).jpg,Normal,Normal,97.00%
Normal (90).jpg,Normal,Normal,95.00%
Normal (97).jpg,Normal,Normal,73.00%
Normal (98).jpg,Normal,Normal,86.00%
Normal (99).jpg,Normal,Normal,90.00%
Tumor (1).jpg,Tumor,Tumor,100.00%
Tumor (10).jpg,Tumor,Tumor,95.00%
Tumor (103).jpg,Tumor,Tumor,93.00%
Tumor (107).jpg,Tumor,Tumor,97.00%
Tumor (109).jpg,Tumor,Tumor,78.00%
Tumor (110).jpg,Tumor,Tumor,89.00%
Tumor (114).jpg,Tumor,Tumor,93.00%
Tumor (119).jpg,Tumor,Tumor,99.00%
Tumor (12).jpg,Tumor,Tumor,88.00%
Tumor (122).jpg,Tumor,Tumor,95.00%
Tumor (123).jpg,Tumor,Tumor,100.00%
Tumor (128).jpg,Tumor,Tumor,99.00%
Tumor (13).jpg,Tumor,Tumor,94.00%
Tumor (131).jpg,Tumor,Tumor,92.00%
Tumor (135).jpg,Tumor,Tumor,89.00%
Tumor (136).jpg,Tumor,Tumor,77.00%
Tumor (155).jpg,Tumor,Tumor,93.00%
Tumor (16).jpg,Tumor,Tumor,89.00%
Tumor (160).jpg,Tumor,Tumor,84.00%
Tumor (166).jpg,Tumor,Tumor,74.00%
Tumor (171).jpg,Tumor,Tumor,99.00%
Tumor (176).jpg,Tumor,Tumor,97.00%
Tumor (177).jpg,Tumor,Tumor,87.00%
Tumor (178).jpg,Tumor,Tumor,92.00%
Tumor (186).jpg,Tumor,Tumor,99.00%
Tumor (187).jpg,Tumor,Tumor,98.00%
Tumor (193).jpg,Tumor,Tumor,90.00%
Tumor (199).jpg,Tumor,Tumor,91.00%
Tumor (2).jpg,Tumor,Tumor,90.00%
Tumor (201).jpg,Tumor,Tumor,99.00%
Tumor (209).jpg,Tumor,Tumor,100.00%
Tumor (222).jpg,Tumor,Tumor,53.00%
Tumor (228).jpg,Tumor,Tumor,100.00%
Tumor (230).jpg,Tumor,Tumor,99.00%
Tumor (29).jpg,Tumor,Tumor,99.00%
Tumor (45).jpg,Tumor,Tumor,89.00%
Tumor (53).jpg,Tumor,Tumor,99.00%
Tumor (60).jpg,Tumor,Tumor,79.00%
Tumor (69).jpg,Tumor,Tumor,95.00%
Tumor (70).jpg,Tumor,Tumor,98.00%
Tumor (85).jpg,Tumor,Tumor,74.00%
Tumor (88).jpg,Tumor,Tumor,90.00%
Tumor (89).jpg,Tumor,Tumor,62.00%
Tumor (97).jpg,Tumor,Tumor,92.00%
Tumor (98).jpg,Tumor,Tumor,84.00%
Tumor (99).jpg,Tumor,Tumor,95.00%
